mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_PUM2	ENCSR042QTH	86725	6014	1160	68	-0.242395086277	90299.2845832	0.0
K562_DNAJC2	ENCSR667PLJ	74123	5229	755	36	-0.565093534939	77777.9381066	0.0
K562_SRSF9	ENCSR341TTW	79143	5533	774	46	-0.234299875736	83043.9519714	0.0
K562_WDR3	ENCSR174OYC	79928	5792	931	46	-0.552507919215	83777.2096038	0.0
K562_APOBEC3C	ENCSR620PUP	82753	5913	1003	63	-0.185976535212	86546.8280006	0.0
K562_HNRNPA0	ENCSR419JMU	77510	5305	1066	61	-0.258296588872	80576.3621801	0.0
HepG2_RAVER1	ENCSR491FOC	81357	4995	1775	186	0.771265400193	82475.6520501	0.0
HepG2_DDX6	ENCSR237YZT	84121	6065	1335	77	-0.32195103593	87384.164022	0.0
HepG2_KIF1C	ENCSR538QOG	86381	6265	645	39	-0.262425527934	91283.0589406	0.0
HepG2_DDX47	ENCSR968BBQ	85199	6201	708	50	-0.0434856575941	89890.2866101	0.0
HepG2_HNRNPU	ENCSR305XWT	82240	5386	1625	66	-0.689275753865	84276.9175305	0.0
HepG2_GEMIN5	ENCSR689PHN	81112	5621	1027	72	0.0167211828063	84548.9256215	0.0
K562_NUFIP2	ENCSR174OYC	80230	5757	641	43	-0.0971631120259	84624.442463	0.0
HepG2_PRPF6	ENCSR491FOC	84850	5551	708	49	0.081199355588	88893.3401835	0.0
K562_PUM1	ENCSR620PUP	85159	6071	1081	68	-0.180535036089	88946.4837618	0.0
HepG2_RBM34	ENCSR491FOC	84209	5446	586	42	0.148266113221	88403.4018089	0.0
K562_NOL12	ENCSR620PUP	84734	6036	967	68	-0.0186329738735	88711.8016522	0.0
HepG2_FMR1	ENCSR042QTH	85805	5877	687	54	0.198631128319	90205.9966552	0.0
K562_SF1	ENCSR898NWE	76782	4538	772	46	0.0117445443313	79692.2283123	0.0
K562_DDX3X	ENCSR913CAE	77876	5558	683	39	-0.321798505282	81996.2638106	0.0
K562_HNRNPC	ENCSR572FFX	76522	5264	1374	121	0.356340135121	78823.4523677	0.0
K562_FTO	ENCSR424QCW	73990	4777	1005	50	-0.375970079435	76671.1741722	0.0
